case_id,pair_skill_a,pair_skill_b,overlap_score,overlapping_phrase_a,overlapping_phrase_b,template_kind,suggestion_text,reviewer_1_actionability_1to5,reviewer_1_preservation_1to5,reviewer_2_actionability_1to5,reviewer_2_preservation_1to5,reviewer_notes
case-04,cameroncooke__xcodebuildmcp,danielealbano__mcp-for-azure-devops-boards,1.00,A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients.,"A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust.",narrow_scope,"Narrow the description of ""XcodeBuildMCP"" to specify a concrete sub-task. The phrase ""A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients."" is too generic; replace with a phrase that includes the specific artifact, e.g. ""A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients. a Stripe webhook"" or ""A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients. the migrations folder"".",2,1,2,1,"[LLM-r2 GPT-5.4]: The user gets only a vague directive, and the example additions are unrelated to Xcode tooling so they would change the meaning. | [LLM-r1 gemini-2.5-pro]: The suggested additions are unrelated to Xcode tools and would fundamentally break the meaning of the skill's description."
case-04,cameroncooke__xcodebuildmcp,danielealbano__mcp-for-azure-devops-boards,1.00,A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients.,"A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust.",reword_trigger_verb,"Replace the trigger verb ""a"" in ""A Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients."" with ""a-specific"" to disambiguate from sibling skills. Updated description: ""a-specific Model Context Protocol (MCP) server that provides Xcode-related tools for integration with AI assistants and other MCP clients."".",1,3,2,2,"[LLM-r2 GPT-5.4]: Although the replacement is explicit, ""a-specific Model Context Protocol server"" is unnatural and not realistically usable. | [LLM-r1 gemini-2.5-pro]: This template produces an ungrammatical and confusing phrase, making it a poor, unactionable suggestion."
case-05,claude-code-marketplace-contributors__feature,specweaver-team__specweaver,1.00,"Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary","Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration",add_domain_qualifier,"Rename ""feature"" to ""Claude Code Marketplace Contributors-feature"" so its trigger phrases unambiguously belong to the Claude Code Marketplace Contributors domain. (Original: ""Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary"".)",4,5,3,4,"[LLM-r2 GPT-5.4]: The rename direction is clear, but the inserted organization label is clunky enough that the final name is less confidently copy-ready. | [LLM-r1 gemini-2.5-pro]: Renaming the generic 'feature' skill with its author's domain is a highly effective and actionable way to disambiguate it."
case-05,claude-code-marketplace-contributors__feature,specweaver-team__specweaver,1.00,"Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary","Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration",narrow_scope,"Narrow the description of ""feature"" to specify a concrete sub-task. The phrase ""Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary"" is too generic; replace with a phrase that includes the specific artifact, e.g. ""Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary a Stripe webhook"" or ""Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary the migrations folder"".",2,1,2,2,"[LLM-r2 GPT-5.4]: It vaguely suggests making the workflow more specific, but the provided artifact examples arbitrarily narrow the skill and introduce drift. | [LLM-r1 gemini-2.5-pro]: Appending a generic, unrelated artifact to an already detailed description is nonsensical and breaks the original intent."
case-05,claude-code-marketplace-contributors__feature,specweaver-team__specweaver,1.00,"Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary","Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration",reword_trigger_verb,"Replace the trigger verb ""systematic"" in ""Systematic feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary"" with ""systematic-specific"" to disambiguate from sibling skills. Updated description: ""systematic-specific feature development with 7-phase workflow: discovery, exploration, clarifying questions, architecture design (SOLID, Clean Architecture, Design Patterns, DDD), implementation, QA-DEV-REVIEW loops, and summary"".",1,3,2,3,"[LLM-r2 GPT-5.4]: The exact swap is easy to identify, yet ""systematic-specific"" is awkward jargon that preserves only the rough idea, not a usable phrasing. | [LLM-r1 gemini-2.5-pro]: The suggestion creates an awkward, ungrammatical phrase that a user would be unlikely to adopt."
case-06,claude-skills-maintainers__cloudflare-agents,enessari__metabase-ai-assistant,1.00,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.","🤖 AI-powered MCP server for Metabase & PostgreSQL - Generate dashboards, SQL queries, and analytics with Claude Desktop & Claude Code integration",add_domain_qualifier,"Rename ""cloudflare-agents"" to ""Claude Skills Maintainers-cloudflare-agents"" so its trigger phrases unambiguously belong to the Claude Skills Maintainers domain. (Original: ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."".)",4,5,3,4,"[LLM-r2 GPT-5.4]: The proposed rename is understandable, but the human-readable org prefix makes the final skill name awkward rather than cleanly polished. | [LLM-r1 gemini-2.5-pro]: Adding the author's domain is a clear, actionable suggestion that preserves the original intent while providing necessary disambiguation."
case-06,claude-skills-maintainers__cloudflare-agents,enessari__metabase-ai-assistant,1.00,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.","🤖 AI-powered MCP server for Metabase & PostgreSQL - Generate dashboards, SQL queries, and analytics with Claude Desktop & Claude Code integration",narrow_scope,"Narrow the description of ""cloudflare-agents"" to specify a concrete sub-task. The phrase ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."" is too generic; replace with a phrase that includes the specific artifact, e.g. ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers. a Stripe webhook"" or ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers. the migrations folder"".",2,1,2,2,"[LLM-r2 GPT-5.4]: It gives a general direction to narrow scope, but the examples are arbitrary and would materially reshape the Cloudflare agents description. | [LLM-r1 gemini-2.5-pro]: The suggested additions are unrelated to Cloudflare agents and would fundamentally break the meaning of the skill's description."
case-06,claude-skills-maintainers__cloudflare-agents,enessari__metabase-ai-assistant,1.00,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.","🤖 AI-powered MCP server for Metabase & PostgreSQL - Generate dashboards, SQL queries, and analytics with Claude Desktop & Claude Code integration",reword_trigger_verb,"Replace the trigger verb ""build"" in ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."" with ""compile"" to disambiguate from sibling skills. Updated description: ""compile AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."".",4,3,4,2,"[LLM-r2 GPT-5.4]: This is a precise word-level edit, but changing ""Build"" to ""compile"" shifts the meaning and sounds wrong for AI agent creation. | [LLM-r1 gemini-2.5-pro]: While actionable, swapping 'build' for 'compile' introduces a minor semantic drift, as building an agent is a broader concept."
case-07,claude-skills-maintainers__cloudflare-agents,microsoft__azure-aigateway,1.00,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.","Configure Azure API Management as an AI Gateway for AI models, MCP tools, and agents",add_domain_qualifier,"Rename ""cloudflare-agents"" to ""Claude Skills Maintainers-cloudflare-agents"" so its trigger phrases unambiguously belong to the Claude Skills Maintainers domain. (Original: ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."".)",4,5,3,4,"[LLM-r2 GPT-5.4]: The rename is mostly clear, though the added organization phrase is awkward enough to reduce how cleanly it could be applied. | [LLM-r1 gemini-2.5-pro]: Adding the author's domain is a clear, actionable suggestion that preserves the original intent while providing necessary disambiguation."
case-07,claude-skills-maintainers__cloudflare-agents,microsoft__azure-aigateway,1.00,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.","Configure Azure API Management as an AI Gateway for AI models, MCP tools, and agents",narrow_scope,"Narrow the description of ""cloudflare-agents"" to specify a concrete sub-task. The phrase ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."" is too generic; replace with a phrase that includes the specific artifact, e.g. ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers. a Stripe webhook"" or ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers. the migrations folder"".",2,1,2,2,"[LLM-r2 GPT-5.4]: The instruction indicates a narrower rewrite, but its example artifacts are not grounded in the skill's actual Cloudflare-agents domain. | [LLM-r1 gemini-2.5-pro]: The suggested additions are unrelated to Cloudflare agents and would fundamentally break the meaning of the skill's description."
case-07,claude-skills-maintainers__cloudflare-agents,microsoft__azure-aigateway,1.00,"Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers.","Configure Azure API Management as an AI Gateway for AI models, MCP tools, and agents",reword_trigger_verb,"Replace the trigger verb ""build"" in ""Build AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."" with ""compile"" to disambiguate from sibling skills. Updated description: ""compile AI agents on Cloudflare Workers with MCP integration, tool use, and LLM providers."".",4,3,4,2,"[LLM-r2 GPT-5.4]: The edit is explicit and easy to perform, but ""compile AI agents"" changes the sense of the original and reads unnaturally. | [LLM-r1 gemini-2.5-pro]: While actionable, swapping 'build' for 'compile' introduces a minor semantic drift, as building an agent is a broader concept."
case-08,danielealbano__mcp-for-azure-devops-boards,microsoft__mcp-builder,1.00,"A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust.",Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools,add_domain_qualifier,"Rename ""mcp-for-azure-devops-boards"" to ""danielealbano-mcp-for-azure-devops-boards"" so its trigger phrases unambiguously belong to the danielealbano domain. (Original: ""A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust."".)",4,5,4,5,"[LLM-r2 GPT-5.4]: This is a concrete rename that preserves the Azure DevOps Boards MCP server intent while making the source unmistakable. | [LLM-r1 gemini-2.5-pro]: Prepending the author's domain is a clear, actionable change that perfectly preserves the skill's original intent while disambiguating it."
case-08,danielealbano__mcp-for-azure-devops-boards,microsoft__mcp-builder,1.00,"A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust.",Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools,narrow_scope,"Narrow the description of ""mcp-for-azure-devops-boards"" to specify a concrete sub-task. The phrase ""A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust."" is too generic; replace with a phrase that includes the specific artifact, e.g. ""A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust. a Stripe webhook"" or ""A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust. the migrations folder"".",2,1,2,1,"[LLM-r2 GPT-5.4]: It only loosely tells the user what kind of rewrite to make, and the sample additions are unrelated to Azure DevOps Boards. | [LLM-r1 gemini-2.5-pro]: The suggested additions are unrelated to Azure DevOps and would fundamentally break the meaning of the skill's description."
case-08,danielealbano__mcp-for-azure-devops-boards,microsoft__mcp-builder,1.00,"A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust.",Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools,reword_trigger_verb,"Replace the trigger verb ""a"" in ""A Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust."" with ""a-specific"" to disambiguate from sibling skills. Updated description: ""a-specific Model Context Protocol (MCP) server for interacting with Azure DevOps Boards and Work Items, written in Rust."".",1,3,2,2,"[LLM-r2 GPT-5.4]: The word replacement is explicit, but ""a-specific"" yields broken phrasing and is not a sound edit to apply. | [LLM-r1 gemini-2.5-pro]: This template produces an ungrammatical and confusing phrase, making it a poor, unactionable suggestion."
case-09,ifew__google-map-point,shipdeckai__claude-skills,1.00,Demo build project with Claude Code,A curated collection of Claude Code skills and plugins,add_domain_qualifier,"Rename ""google-map-point"" to ""ifew-google-map-point"" so its trigger phrases unambiguously belong to the ifew domain. (Original: ""Demo build project with Claude Code"".)",4,5,4,5,"[LLM-r2 GPT-5.4]: This is a clear, directly usable rename that keeps the original demo-project identity intact while differentiating ownership. | [LLM-r1 gemini-2.5-pro]: Prepending the author's domain is a clear, actionable change that perfectly preserves the skill's original intent while disambiguating it."
case-09,ifew__google-map-point,shipdeckai__claude-skills,1.00,Demo build project with Claude Code,A curated collection of Claude Code skills and plugins,narrow_scope,"Narrow the description of ""google-map-point"" to specify a concrete sub-task. The phrase ""Demo build project with Claude Code"" is too generic; replace with a phrase that includes the specific artifact, e.g. ""Demo build project with Claude Code a Stripe webhook"" or ""Demo build project with Claude Code the migrations folder"".",2,1,2,1,"[LLM-r2 GPT-5.4]: The user is told to add specificity, but the only examples are unrelated artifacts that would hijack the original demo-project meaning. | [LLM-r1 gemini-2.5-pro]: The suggested additions are unrelated to the demo project and would fundamentally break the meaning of the skill's description."
case-09,ifew__google-map-point,shipdeckai__claude-skills,1.00,Demo build project with Claude Code,A curated collection of Claude Code skills and plugins,reword_trigger_verb,"Replace the trigger verb ""demo"" in ""Demo build project with Claude Code"" with ""demo-specific"" to disambiguate from sibling skills. Updated description: ""demo-specific build project with Claude Code"".",1,3,2,3,"[LLM-r2 GPT-5.4]: It points to an exact rewrite, yet ""demo-specific build project"" is awkward English even though the original idea remains loosely recognizable. | [LLM-r1 gemini-2.5-pro]: The suggestion creates an awkward, ungrammatical phrase that a user would be unlikely to adopt."
case-10,specweaver-team__specweaver,sudocode-ai__sudocode,1.00,"Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration",Git-native spec and issue management for AI-assisted development,add_domain_qualifier,"Rename ""specweaver"" to ""SpecWeaver Team-specweaver"" so its trigger phrases unambiguously belong to the SpecWeaver Team domain. (Original: ""Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration"".)",4,5,3,4,"[LLM-r2 GPT-5.4]: The rename is understandable, but the spaced organization name makes the resulting title feel awkward rather than naturally adoptable. | [LLM-r1 gemini-2.5-pro]: Adding the author's domain is a clear, actionable suggestion that preserves the original intent while providing necessary disambiguation."
case-10,specweaver-team__specweaver,sudocode-ai__sudocode,1.00,"Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration",Git-native spec and issue management for AI-assisted development,narrow_scope,"Narrow the description of ""specweaver"" to specify a concrete sub-task. The phrase ""Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration"" is too generic; replace with a phrase that includes the specific artifact, e.g. ""Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration a Stripe webhook"" or ""Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration the migrations folder"".",2,1,2,2,"[LLM-r2 GPT-5.4]: It suggests narrowing the workflow description, but the exemplar add-ons are generic artifacts that materially redirect the skill's intent. | [LLM-r1 gemini-2.5-pro]: The suggested additions are unrelated to spec-driven development and would fundamentally break the meaning of the skill's description."
case-10,specweaver-team__specweaver,sudocode-ai__sudocode,1.00,"Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration",Git-native spec and issue management for AI-assisted development,reword_trigger_verb,"Replace the trigger verb ""comprehensive"" in ""Comprehensive feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration"" with ""comprehensive-specific"" to disambiguate from sibling skills. Updated description: ""comprehensive-specific feature development workflow with spec-driven implementation, atomic phasing, and multi-agent collaboration"".",1,3,2,3,"[LLM-r2 GPT-5.4]: The exact substitution is easy to see, but ""comprehensive-specific"" is malformed wording that preserves only the broad intent. | [LLM-r1 gemini-2.5-pro]: The suggestion creates an awkward, ungrammatical phrase that a user would be unlikely to adopt."
